passport,total_score,total_destinations,breakdown,average_multiplier,rank
PT,166.4,200,"{'visa_free': 128, 'visa_on_arrival': 48, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.832,27
SE,166.4,200,"{'visa_free': 124, 'visa_on_arrival': 53, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.832,28
PL,166.4,200,"{'visa_free': 124, 'visa_on_arrival': 53, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.832,29
AT,166.2,200,"{'visa_free': 127, 'visa_on_arrival': 49, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.831,30
RE,166.0,200,"{'visa_free': 122, 'visa_on_arrival': 55, 'eta_required': 0, 'visa_required': 23, 'unknown': 0}",0.83,31
DE,165.8,200,"{'visa_free': 125, 'visa_on_arrival': 51, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.829,32
ES,165.8,200,"{'visa_free': 125, 'visa_on_arrival': 51, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.829,33
NL,165.8,200,"{'visa_free': 125, 'visa_on_arrival': 51, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.829,34
NO,165.6,200,"{'visa_free': 124, 'visa_on_arrival': 52, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.828,35
BN,165.5,200,"{'visa_free': 124, 'visa_on_arrival': 51, 'eta_required': 1, 'visa_required': 24, 'unknown': 0}",0.828,36
PF,165.4,200,"{'visa_free': 123, 'visa_on_arrival': 53, 'eta_required': 0, 'visa_required': 24, 'unknown': 0}",0.827,37
CZ,165.4,200,"{'visa_free': 119, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 16, 'unknown': 7}",0.827,38
SI,165.2,200,"{'visa_free': 122, 'visa_on_arrival': 54, 'eta_required': 0, 'visa_required': 17, 'unknown': 7}",0.826,39
CL,165.2,200,"{'visa_free': 118, 'visa_on_arrival': 59, 'eta_required': 0, 'visa_required': 23, 'unknown': 0}",0.826,40
CK,165.1,200,"{'visa_free': 118, 'visa_on_arrival': 58, 'eta_required': 1, 'visa_required': 23, 'unknown': 0}",0.826,41
IT,164.8,200,"{'visa_free': 128, 'visa_on_arrival': 46, 'eta_required': 0, 'visa_required': 19, 'unknown': 7}",0.824,42
GR,164.4,200,"{'visa_free': 126, 'visa_on_arrival': 48, 'eta_required': 0, 'visa_required': 19, 'unknown': 7}",0.822,43
BM,164.4,200,"{'visa_free': 118, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 24, 'unknown': 0}",0.822,44
NC,164.0,200,"{'visa_free': 124, 'visa_on_arrival': 50, 'eta_required': 0, 'visa_required': 26, 'unknown': 0}",0.82,45
BS,163.4,200,"{'visa_free': 117, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 25, 'unknown': 0}",0.817,46
IS,163.2,200,"{'visa_free': 120, 'visa_on_arrival': 54, 'eta_required': 0, 'visa_required': 19, 'unknown': 7}",0.816,47
MX,162.6,200,"{'visa_free': 117, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 26, 'unknown': 0}",0.813,48
LT,161.6,200,"{'visa_free': 124, 'visa_on_arrival': 47, 'eta_required': 0, 'visa_required': 22, 'unknown': 7}",0.808,49
BB,161.6,200,"{'visa_free': 116, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 27, 'unknown': 0}",0.808,50
LI,161.6,200,"{'visa_free': 116, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 20, 'unknown': 7}",0.808,51
TT,160.6,200,"{'visa_free': 111, 'visa_on_arrival': 62, 'eta_required': 0, 'visa_required': 27, 'unknown': 0}",0.803,52
IL,159.6,200,"{'visa_free': 118, 'visa_on_arrival': 52, 'eta_required': 0, 'visa_required': 18, 'unknown': 12}",0.798,53
UY,159.2,200,"{'visa_free': 112, 'visa_on_arrival': 59, 'eta_required': 0, 'visa_required': 29, 'unknown': 0}",0.796,54
SC,158.1,200,"{'visa_free': 111, 'visa_on_arrival': 58, 'eta_required': 1, 'visa_required': 30, 'unknown': 0}",0.791,55
PY,156.8,200,"{'visa_free': 108, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 31, 'unknown': 0}",0.784,56
CR,156.4,200,"{'visa_free': 106, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 31, 'unknown': 0}",0.782,57
SV,156.0,200,"{'visa_free': 104, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 31, 'unknown': 0}",0.78,58
MU,155.8,200,"{'visa_free': 107, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 32, 'unknown': 0}",0.779,59
MO,154.7,200,"{'visa_free': 110, 'visa_on_arrival': 55, 'eta_required': 1, 'visa_required': 34, 'unknown': 0}",0.774,60
PE,154.6,200,"{'visa_free': 109, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 34, 'unknown': 0}",0.773,61
GU,153.8,200,"{'visa_free': 105, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 32, 'unknown': 2}",0.769,62
UA,153.6,200,"{'visa_free': 104, 'visa_on_arrival': 62, 'eta_required': 0, 'visa_required': 34, 'unknown': 0}",0.768,63
WS,153.2,200,"{'visa_free': 102, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 34, 'unknown': 0}",0.766,64
AS,152.8,200,"{'visa_free': 104, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 33, 'unknown': 2}",0.764,65
PA,152.6,200,"{'visa_free': 103, 'visa_on_arrival': 62, 'eta_required': 0, 'visa_required': 35, 'unknown': 0}",0.763,66
GT,151.6,200,"{'visa_free': 98, 'visa_on_arrival': 67, 'eta_required': 0, 'visa_required': 35, 'unknown': 0}",0.758,67
MP,151.6,200,"{'visa_free': 98, 'visa_on_arrival': 67, 'eta_required': 0, 'visa_required': 33, 'unknown': 2}",0.758,68
RS,150.4,200,"{'visa_free': 100, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 37, 'unknown': 0}",0.752,69
MH,150.0,200,"{'visa_free': 102, 'visa_on_arrival': 60, 'eta_required': 0, 'visa_required': 38, 'unknown': 0}",0.75,70
SB,149.9,200,"{'visa_free': 102, 'visa_on_arrival': 59, 'eta_required': 1, 'visa_required': 38, 'unknown': 0}",0.75,71
HN,148.4,200,"{'visa_free': 98, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 39, 'unknown': 0}",0.742,72
GE,148.4,200,"{'visa_free': 94, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 38, 'unknown': 0}",0.742,73
BA,147.9,200,"{'visa_free': 100, 'visa_on_arrival': 59, 'eta_required': 1, 'visa_required': 40, 'unknown': 0}",0.74,74
CO,147.6,200,"{'visa_free': 102, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 41, 'unknown': 0}",0.738,75
TO,147.4,200,"{'visa_free': 101, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 40, 'unknown': 1}",0.737,76
RU,147.3,200,"{'visa_free': 101, 'visa_on_arrival': 57, 'eta_required': 1, 'visa_required': 39, 'unknown': 2}",0.736,77
PW,147.0,200,"{'visa_free': 95, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 40, 'unknown': 0}",0.735,78
NI,146.6,200,"{'visa_free': 101, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 42, 'unknown': 0}",0.733,79
FM,146.4,200,"{'visa_free': 96, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 41, 'unknown': 0}",0.732,80
TV,145.6,200,"{'visa_free': 100, 'visa_on_arrival': 57, 'eta_required': 0, 'visa_required': 43, 'unknown': 0}",0.728,81
TR,145.4,200,"{'visa_free': 95, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 42, 'unknown': 0}",0.727,82
AL,144.2,200,"{'visa_free': 93, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 43, 'unknown': 0}",0.721,83
ME,144.1,200,"{'visa_free': 101, 'visa_on_arrival': 53, 'eta_required': 1, 'visa_required': 45, 'unknown': 0}",0.72,84
HR,143.2,200,"{'visa_free': 100, 'visa_on_arrival': 54, 'eta_required': 0, 'visa_required': 14, 'unknown': 32}",0.716,85
MD,142.4,200,"{'visa_free': 93, 'visa_on_arrival': 60, 'eta_required': 2, 'visa_required': 45, 'unknown': 0}",0.712,86
QA,142.2,200,"{'visa_free': 99, 'visa_on_arrival': 54, 'eta_required': 0, 'visa_required': 47, 'unknown': 0}",0.711,87
KI,142.0,200,"{'visa_free': 86, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 44, 'unknown': 0}",0.71,88
VE,141.7,200,"{'visa_free': 89, 'visa_on_arrival': 65, 'eta_required': 1, 'visa_required': 44, 'unknown': 1}",0.708,89
CN,141.2,200,"{'visa_free': 90, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 46, 'unknown': 0}",0.706,90
MK,141.0,200,"{'visa_free': 93, 'visa_on_arrival': 60, 'eta_required': 0, 'visa_required': 47, 'unknown': 0}",0.705,91
KW,140.2,200,"{'visa_free': 93, 'visa_on_arrival': 59, 'eta_required': 0, 'visa_required': 48, 'unknown': 0}",0.701,92
FJ,139.5,200,"{'visa_free': 86, 'visa_on_arrival': 66, 'eta_required': 1, 'visa_required': 47, 'unknown': 0}",0.697,93
RO,138.5,200,"{'visa_free': 97, 'visa_on_arrival': 51, 'eta_required': 1, 'visa_required': 19, 'unknown': 32}",0.692,94
BZ,138.4,200,"{'visa_free': 88, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 49, 'unknown': 0}",0.692,95
TW,137.0,200,"{'visa_free': 81, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 48, 'unknown': 1}",0.685,96
PG,136.6,200,"{'visa_free': 79, 'visa_on_arrival': 72, 'eta_required': 0, 'visa_required': 49, 'unknown': 0}",0.683,97
MV,136.4,200,"{'visa_free': 82, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 50, 'unknown': 0}",0.682,98
ZA,136.0,200,"{'visa_free': 84, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 51, 'unknown': 0}",0.68,99
EC,135.8,200,"{'visa_free': 79, 'visa_on_arrival': 71, 'eta_required': 0, 'visa_required': 50, 'unknown': 0}",0.679,100
BG,135.4,200,"{'visa_free': 97, 'visa_on_arrival': 48, 'eta_required': 0, 'visa_required': 23, 'unknown': 32}",0.677,101
TL,134.4,200,"{'visa_free': 84, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 53, 'unknown': 0}",0.672,102
BH,133.4,200,"{'visa_free': 87, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 55, 'unknown': 0}",0.667,103
OM,132.8,200,"{'visa_free': 84, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 55, 'unknown': 0}",0.664,104
ID,132.0,200,"{'visa_free': 84, 'visa_on_arrival': 60, 'eta_required': 0, 'visa_required': 56, 'unknown': 0}",0.66,105
LS,131.4,200,"{'visa_free': 77, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 55, 'unknown': 0}",0.657,106
MC,131.2,200,"{'visa_free': 88, 'visa_on_arrival': 54, 'eta_required': 0, 'visa_required': 26, 'unknown': 32}",0.656,107
SM,131.0,200,"{'visa_free': 87, 'visa_on_arrival': 55, 'eta_required': 0, 'visa_required': 26, 'unknown': 32}",0.655,108
AD,131.0,200,"{'visa_free': 83, 'visa_on_arrival': 60, 'eta_required': 0, 'visa_required': 25, 'unknown': 32}",0.655,109
MN,131.0,200,"{'visa_free': 79, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 56, 'unknown': 0}",0.655,110
DO,131.0,200,"{'visa_free': 75, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 55, 'unknown': 0}",0.655,111
PH,131.0,200,"{'visa_free': 75, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 55, 'unknown': 0}",0.655,112
JM,129.8,200,"{'visa_free': 81, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 58, 'unknown': 0}",0.649,113
GY,129.4,200,"{'visa_free': 75, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 57, 'unknown': 0}",0.647,114
VA,128.2,200,"{'visa_free': 77, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 27, 'unknown': 32}",0.641,115
TH,127.9,200,"{'visa_free': 68, 'visa_on_arrival': 74, 'eta_required': 1, 'visa_required': 57, 'unknown': 0}",0.639,116
CV,127.8,200,"{'visa_free': 71, 'visa_on_arrival': 71, 'eta_required': 0, 'visa_required': 58, 'unknown': 0}",0.639,117
KZ,127.0,200,"{'visa_free': 75, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 60, 'unknown': 0}",0.635,118
KE,126.8,200,"{'visa_free': 78, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 61, 'unknown': 0}",0.634,119
SA,126.4,200,"{'visa_free': 84, 'visa_on_arrival': 53, 'eta_required': 0, 'visa_required': 63, 'unknown': 0}",0.632,120
GM,126.4,200,"{'visa_free': 76, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 60, 'unknown': 1}",0.632,121
VU,126.4,200,"{'visa_free': 72, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 60, 'unknown': 0}",0.632,122
TN,125.8,200,"{'visa_free': 81, 'visa_on_arrival': 56, 'eta_required': 0, 'visa_required': 63, 'unknown': 0}",0.629,123
NR,124.7,200,"{'visa_free': 72, 'visa_on_arrival': 65, 'eta_required': 1, 'visa_required': 62, 'unknown': 0}",0.623,124
BY,124.6,200,"{'visa_free': 75, 'visa_on_arrival': 62, 'eta_required': 0, 'visa_required': 63, 'unknown': 0}",0.623,125
ZM,122.2,200,"{'visa_free': 71, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 64, 'unknown': 1}",0.611,126
NA,122.2,200,"{'visa_free': 71, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 65, 'unknown': 0}",0.611,127
IN,122.2,200,"{'visa_free': 67, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 64, 'unknown': 0}",0.611,128
MA,122.0,200,"{'visa_free': 70, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 65, 'unknown': 0}",0.61,129
SL,121.8,200,"{'visa_free': 74, 'visa_on_arrival': 58, 'eta_required': 2, 'visa_required': 65, 'unknown': 1}",0.609,130
BO,121.8,200,"{'visa_free': 69, 'visa_on_arrival': 66, 'eta_required': 0, 'visa_required': 65, 'unknown': 0}",0.609,131
TZ,121.4,200,"{'visa_free': 75, 'visa_on_arrival': 58, 'eta_required': 0, 'visa_required': 66, 'unknown': 1}",0.607,132
BW,120.8,200,"{'visa_free': 76, 'visa_on_arrival': 56, 'eta_required': 0, 'visa_required': 68, 'unknown': 0}",0.604,133
VN,120.6,200,"{'visa_free': 63, 'visa_on_arrival': 72, 'eta_required': 0, 'visa_required': 65, 'unknown': 0}",0.603,134
GN,120.4,200,"{'visa_free': 66, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 66, 'unknown': 0}",0.602,135
UZ,120.2,200,"{'visa_free': 65, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 66, 'unknown': 0}",0.601,136
KH,120.2,200,"{'visa_free': 65, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 66, 'unknown': 0}",0.601,137
BF,120.2,200,"{'visa_free': 65, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 65, 'unknown': 1}",0.601,138
AM,119.8,200,"{'visa_free': 71, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 67, 'unknown': 1}",0.599,139
ZW,119.8,200,"{'visa_free': 71, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 67, 'unknown': 1}",0.599,140
SR,119.8,200,"{'visa_free': 67, 'visa_on_arrival': 66, 'eta_required': 0, 'visa_required': 67, 'unknown': 0}",0.599,141
TG,119.8,200,"{'visa_free': 63, 'visa_on_arrival': 71, 'eta_required': 0, 'visa_required': 65, 'unknown': 1}",0.599,142
NE,119.6,200,"{'visa_free': 70, 'visa_on_arrival': 62, 'eta_required': 0, 'visa_required': 67, 'unknown': 1}",0.598,143
MW,119.6,200,"{'visa_free': 70, 'visa_on_arrival': 62, 'eta_required': 0, 'visa_required': 67, 'unknown': 1}",0.598,144
SN,119.6,200,"{'visa_free': 66, 'visa_on_arrival': 67, 'eta_required': 0, 'visa_required': 66, 'unknown': 1}",0.598,145
UG,119.0,200,"{'visa_free': 67, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 68, 'unknown': 0}",0.595,146
GH,118.7,200,"{'visa_free': 74, 'visa_on_arrival': 55, 'eta_required': 1, 'visa_required': 70, 'unknown': 0}",0.593,147
AZ,118.4,200,"{'visa_free': 64, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 68, 'unknown': 0}",0.592,148
MZ,118.4,200,"{'visa_free': 64, 'visa_on_arrival': 68, 'eta_required': 0, 'visa_required': 68, 'unknown': 0}",0.592,149
CI,118.0,200,"{'visa_free': 66, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 68, 'unknown': 1}",0.59,150
TD,118.0,200,"{'visa_free': 66, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 68, 'unknown': 1}",0.59,151
GA,117.4,200,"{'visa_free': 67, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 69, 'unknown': 1}",0.587,152
ST,117.4,200,"{'visa_free': 67, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 70, 'unknown': 0}",0.587,153
GQ,117.2,200,"{'visa_free': 62, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 68, 'unknown': 1}",0.586,154
SZ,116.8,200,"{'visa_free': 68, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 71, 'unknown': 0}",0.584,155
LK,116.8,200,"{'visa_free': 52, 'visa_on_arrival': 81, 'eta_required': 0, 'visa_required': 67, 'unknown': 0}",0.584,156
XK,116.6,200,"{'visa_free': 63, 'visa_on_arrival': 67, 'eta_required': 0, 'visa_required': 69, 'unknown': 1}",0.583,157
AO,116.1,200,"{'visa_free': 61, 'visa_on_arrival': 68, 'eta_required': 1, 'visa_required': 69, 'unknown': 1}",0.58,158
RW,115.8,200,"{'visa_free': 63, 'visa_on_arrival': 66, 'eta_required': 0, 'visa_required': 71, 'unknown': 0}",0.579,159
CF,114.8,200,"{'visa_free': 62, 'visa_on_arrival': 66, 'eta_required': 0, 'visa_required': 72, 'unknown': 0}",0.574,160
EG,114.8,200,"{'visa_free': 58, 'visa_on_arrival': 71, 'eta_required': 0, 'visa_required': 71, 'unknown': 0}",0.574,161
BT,114.8,200,"{'visa_free': 54, 'visa_on_arrival': 76, 'eta_required': 0, 'visa_required': 70, 'unknown': 0}",0.574,162
BI,114.4,200,"{'visa_free': 64, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 72, 'unknown': 1}",0.572,163
MR,114.3,200,"{'visa_free': 60, 'visa_on_arrival': 67, 'eta_required': 1, 'visa_required': 71, 'unknown': 1}",0.571,164
LY,114.2,200,"{'visa_free': 63, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 72, 'unknown': 1}",0.571,165
CM,114.0,200,"{'visa_free': 58, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 72, 'unknown': 0}",0.57,166
KM,113.9,200,"{'visa_free': 58, 'visa_on_arrival': 69, 'eta_required': 1, 'visa_required': 72, 'unknown': 0}",0.569,167
NP,113.6,200,"{'visa_free': 56, 'visa_on_arrival': 72, 'eta_required': 0, 'visa_required': 72, 'unknown': 0}",0.568,168
DJ,113.4,200,"{'visa_free': 63, 'visa_on_arrival': 63, 'eta_required': 0, 'visa_required': 74, 'unknown': 0}",0.567,169
LR,113.2,200,"{'visa_free': 58, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 73, 'unknown': 0}",0.566,170
MG,113.0,200,"{'visa_free': 61, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 74, 'unknown': 0}",0.565,171
MM,112.5,200,"{'visa_free': 51, 'visa_on_arrival': 76, 'eta_required': 1, 'visa_required': 71, 'unknown': 1}",0.562,172
KP,112.2,200,"{'visa_free': 53, 'visa_on_arrival': 74, 'eta_required': 0, 'visa_required': 72, 'unknown': 1}",0.561,173
IQ,111.9,200,"{'visa_free': 60, 'visa_on_arrival': 64, 'eta_required': 1, 'visa_required': 75, 'unknown': 0}",0.559,174
GW,111.4,200,"{'visa_free': 53, 'visa_on_arrival': 73, 'eta_required': 0, 'visa_required': 74, 'unknown': 0}",0.557,175
LA,111.1,200,"{'visa_free': 64, 'visa_on_arrival': 58, 'eta_required': 1, 'visa_required': 76, 'unknown': 1}",0.555,176
BJ,110.2,200,"{'visa_free': 59, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 76, 'unknown': 1}",0.551,177
CG,109.6,200,"{'visa_free': 52, 'visa_on_arrival': 72, 'eta_required': 0, 'visa_required': 75, 'unknown': 1}",0.548,178
ER,109.4,200,"{'visa_free': 51, 'visa_on_arrival': 73, 'eta_required': 0, 'visa_required': 75, 'unknown': 1}",0.547,179
DZ,109.4,200,"{'visa_free': 47, 'visa_on_arrival': 78, 'eta_required': 0, 'visa_required': 75, 'unknown': 0}",0.547,180
ET,109.2,200,"{'visa_free': 46, 'visa_on_arrival': 79, 'eta_required': 0, 'visa_required': 74, 'unknown': 1}",0.546,181
IR,109.1,200,"{'visa_free': 54, 'visa_on_arrival': 68, 'eta_required': 1, 'visa_required': 74, 'unknown': 3}",0.545,182
NG,109.0,200,"{'visa_free': 61, 'visa_on_arrival': 60, 'eta_required': 0, 'visa_required': 78, 'unknown': 1}",0.545,183
HT,108.9,200,"{'visa_free': 53, 'visa_on_arrival': 69, 'eta_required': 1, 'visa_required': 75, 'unknown': 2}",0.544,184
SS,108.7,200,"{'visa_free': 56, 'visa_on_arrival': 65, 'eta_required': 1, 'visa_required': 77, 'unknown': 1}",0.543,185
KG,108.0,200,"{'visa_free': 52, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 78, 'unknown': 0}",0.54,186
BD,107.8,200,"{'visa_free': 55, 'visa_on_arrival': 66, 'eta_required': 0, 'visa_required': 77, 'unknown': 2}",0.539,187
TM,107.6,200,"{'visa_free': 54, 'visa_on_arrival': 67, 'eta_required': 0, 'visa_required': 78, 'unknown': 1}",0.538,188
CD,106.2,200,"{'visa_free': 55, 'visa_on_arrival': 64, 'eta_required': 0, 'visa_required': 81, 'unknown': 0}",0.531,189
AF,106.2,200,"{'visa_free': 51, 'visa_on_arrival': 69, 'eta_required': 0, 'visa_required': 79, 'unknown': 1}",0.531,190
LB,106.0,200,"{'visa_free': 54, 'visa_on_arrival': 65, 'eta_required': 0, 'visa_required': 81, 'unknown': 0}",0.53,191
CU,105.6,200,"{'visa_free': 52, 'visa_on_arrival': 67, 'eta_required': 0, 'visa_required': 80, 'unknown': 1}",0.528,192
SY,105.2,200,"{'visa_free': 51, 'visa_on_arrival': 66, 'eta_required': 2, 'visa_required': 78, 'unknown': 3}",0.526,193
PK,105.1,200,"{'visa_free': 50, 'visa_on_arrival': 68, 'eta_required': 1, 'visa_required': 80, 'unknown': 1}",0.525,194
JO,104.8,200,"{'visa_free': 52, 'visa_on_arrival': 66, 'eta_required': 0, 'visa_required': 81, 'unknown': 1}",0.524,195
SD,104.3,200,"{'visa_free': 50, 'visa_on_arrival': 67, 'eta_required': 1, 'visa_required': 80, 'unknown': 2}",0.521,196
TJ,104.0,200,"{'visa_free': 48, 'visa_on_arrival': 70, 'eta_required': 0, 'visa_required': 82, 'unknown': 0}",0.52,197
ML,102.8,200,"{'visa_free': 54, 'visa_on_arrival': 61, 'eta_required': 0, 'visa_required': 84, 'unknown': 1}",0.514,198
